#ip,ioc
147.78.47.231,Possible Cobaltstrike C2 IP
147.78.47.48,Possible Cobaltstrike C2 IP
148.66.6.26,Possible Cobaltstrike C2 IP
148.66.6.27,Possible Cobaltstrike C2 IP
148.66.6.28,Possible Cobaltstrike C2 IP
148.66.6.29,Possible Cobaltstrike C2 IP
148.66.6.30,Possible Cobaltstrike C2 IP
149.127.215.132,Possible Cobaltstrike C2 IP
15.168.63.98,Possible Cobaltstrike C2 IP
150.109.103.16,Possible Cobaltstrike C2 IP
150.158.100.126,Possible Cobaltstrike C2 IP
150.158.13.117,Possible Cobaltstrike C2 IP
150.158.135.188,Possible Cobaltstrike C2 IP
150.158.137.72,Possible Cobaltstrike C2 IP
150.158.138.113,Possible Cobaltstrike C2 IP
150.158.139.244,Possible Cobaltstrike C2 IP
150.158.161.38,Possible Cobaltstrike C2 IP
150.158.180.97,Possible Cobaltstrike C2 IP
150.158.181.243,Possible Cobaltstrike C2 IP
150.158.212.71,Possible Cobaltstrike C2 IP
150.158.31.222,Possible Cobaltstrike C2 IP
150.158.37.125,Possible Cobaltstrike C2 IP
150.158.44.176,Possible Cobaltstrike C2 IP
150.158.45.62,Possible Cobaltstrike C2 IP
150.158.49.33,Possible Cobaltstrike C2 IP
150.158.50.177,Possible Cobaltstrike C2 IP
150.158.51.99,Possible Cobaltstrike C2 IP
150.158.53.87,Possible Cobaltstrike C2 IP
152.136.104.49,Possible Cobaltstrike C2 IP
152.136.116.44,Possible Cobaltstrike C2 IP
152.136.128.162,Possible Cobaltstrike C2 IP
152.136.167.133,Possible Cobaltstrike C2 IP
152.136.170.219,Possible Cobaltstrike C2 IP
152.32.135.165,Possible Cobaltstrike C2 IP
152.32.174.103,Possible Cobaltstrike C2 IP
152.89.198.175,Possible Cobaltstrike C2 IP
154.12.26.151,Possible Cobaltstrike C2 IP
154.12.84.90,Possible Cobaltstrike C2 IP
154.204.28.190,Possible Metasploit C2 IP
154.204.43.33,Possible Cobaltstrike C2 IP
154.204.56.105,Possible Cobaltstrike C2 IP
154.204.60.102,Possible Cobaltstrike C2 IP
